Time,Used
43562.616880,66930872
43562.616909,79107040
43562.616955,87610936
43562.617002,73356976
43562.617048,70491040
43562.617094,61194528
43562.617141,91689696
43562.617187,84897144
43562.617233,85420312
43562.617280,90756368
43562.617326,70614808
43562.617372,62624872
43562.617419,75236728
43562.617465,92970048
43562.617511,92378872
43562.617557,85840608
43562.617604,81533192
43562.617650,82665168
43562.617697,85746536
43562.617864,95797680
43562.618033,75384032
43562.618076,77394360
43562.618122,73504544
43562.618168,71582912
43562.618215,84889552
43562.618261,86901648
43562.618307,78928616
43562.618354,96138216
43562.618400,85531936
43562.618446,78813936
43562.618493,96614208
43562.618539,92395840
43562.618585,73064056
43562.618632,75748544
43562.618678,73388272
43562.618724,75378768
43562.618771,71251864
43562.618817,88616360
43562.618863,71073120
43562.618910,69596688
43562.618956,78762272
43562.619002,88274016
43562.619051,68231816
43562.619212,67950120
43562.619258,78244040
43562.619304,72686536
43562.619351,89823992
43562.619397,79851752
43562.619443,68769816
43562.619489,69484680
43562.619586,89712880
43562.619633,79486584
43562.619679,77016848
43562.619725,80020608
43562.619772,90433008
43562.619933,80757176
43562.619987,85861440
43562.620033,96011432
43562.620079,72835680
43562.620125,73625096
43562.620173,79673288
43562.620218,93136856
43562.620264,87752248
43562.620311,87221728
43562.620357,78643024
43562.620403,98384696
43562.620450,82866664
43562.620496,80420864
43562.620658,85537392
43562.620710,102469840
43562.620756,88300800
43562.620807,93870992
43562.620854,88312808
43562.620900,77228176
43562.620946,79738288
43562.620993,86720744
43562.621043,103213112
43562.621089,81262896
43562.621136,85721432
43562.621182,85181416
43562.621249,92032848
43562.621295,99295528
43562.621341,73497872
43562.621389,88732680
43562.621435,96401160
43562.621597,97219528
43562.621643,95749760
43562.621689,77075352
43562.621736,77835744
43562.621898,85901104
43562.621944,102426928
43562.622000,76787536
43562.622051,94589872
43562.622098,92142648
43562.622145,89786168
43562.622191,76037208
43562.622237,84385872
43562.622284,87591984
43562.622351,77618184
43562.622398,104134648
43562.622450,82210952
43562.622497,79608824
43562.622542,102530488
43562.622592,81881400
43562.622638,83939544
